,date,spot,option_price
0,2025-04-01 00:04:46.187,82372.42496571247,33173.69026355291
1,2025-04-01 01:02:14.101,82553.23623643283,33344.429807162494
2,2025-04-01 02:04:52.542,82632.17739877684,33419.0130760777
3,2025-04-01 03:04:44.960,82687.62921124356,33471.41791531813
4,2025-04-01 04:04:44.186,83099.7132171393,33861.22152067853
5,2025-04-01 05:04:36.544,82938.776894528,33708.91104007388
6,2025-04-01 06:04:34.613,83037.21355746588,33802.060290814756
7,2025-04-01 07:04:46.868,82965.36899692599,33734.07122191731
8,2025-04-01 08:04:35.765,83434.03386130522,34177.92788227205
9,2025-04-01 09:04:53.710,83460.19817794718,34202.73083455405
10,2025-04-01 10:09:44.944,84301.95269620928,35001.98096064613
11,2025-04-01 11:04:44.581,84370.26093529824,35066.9477317724
12,2025-04-01 12:04:49.221,84194.93109759485,34900.22658154972
13,2025-04-01 13:01:34.929,83889.52404655488,34610.06765105879
14,2025-04-01 14:09:32.720,83589.39097506716,34325.23765444834
15,2025-04-01 15:04:39.019,83619.87350890883,34354.15137546576
16,2025-04-01 16:06:18.541,84281.84680860782,34982.861627506056
17,2025-04-01 17:04:48.622,85311.29137218822,35963.52471705909
18,2025-04-01 18:04:45.615,85089.10675897203,35751.5749969705
19,2025-04-01 19:04:56.957,85253.00123334384,35907.90440484378
20,2025-04-01 20:04:40.475,85133.05972535553,35793.490699886344
21,2025-04-01 21:05:45.976,84929.06237244017,35599.00170124463
22,2025-04-01 22:04:51.962,85245.22438987631,35900.484579091375
23,2025-04-01 23:04:42.548,85244.43181925929,35899.728404495516
24,2025-04-02 00:04:52.481,85073.12003223266,35736.33081768273
25,2025-04-02 01:04:51.597,85151.38359873935,35810.967082492134
26,2025-04-02 02:04:54.025,84981.39412820044,35648.88137894569
27,2025-04-02 03:04:56.429,85152.65632409418,35812.18098362429
28,2025-04-02 04:04:59.886,84728.41789937182,35407.84186589874
29,2025-04-02 05:09:44.525,84650.3303317548,35333.481490883154
30,2025-04-02 06:04:41.614,84580.70592294853,35267.19742885707
31,2025-04-02 07:04:49.985,84083.22112364328,34794.05650000625
32,2025-04-02 08:04:49.860,84126.51474147492,34835.19800923455
33,2025-04-02 09:04:34.459,84416.00027025993,35110.458462542854
34,2025-04-02 10:04:43.251,84665.33194165595,35347.76548853673
35,2025-04-02 11:04:51.032,85021.65957232645,35687.26619722367
36,2025-04-02 12:00:28.903,84844.77000604966,35518.67779040497
37,2025-04-02 13:09:32.518,84597.15150833085,35282.85255075755
38,2025-04-02 14:09:30.048,84938.61029698861,35608.10157826606
39,2025-04-02 15:04:58.557,85461.5657413444,36106.96593125223
40,2025-04-02 16:07:35.023,86036.13444049208,36656.0580603231
41,2025-04-02 17:09:25.304,86617.24415685238,37212.41850812659
42,2025-04-02 18:04:57.119,87106.00781966242,37681.129037840925
43,2025-04-02 19:03:23.992,86612.92096605808,37208.275760769415
44,2025-04-02 20:04:56.151,86317.97978903714,36925.77440388819
45,2025-04-02 21:04:30.944,86412.29967901438,37016.08826129266
46,2025-04-02 22:02:08.126,85654.66996320832,36291.39381385886
47,2025-04-02 23:04:58.273,84604.64636587836,35289.98746473382
48,2025-04-03 00:05:43.323,82670.64635520295,33455.36699323475
49,2025-04-03 01:00:33.025,82526.4221526433,33319.10140195956
50,2025-04-03 02:04:57.817,83067.24275015933,33830.4836647012
51,2025-04-03 03:04:49.283,83776.68744254543,34502.94696101455
52,2025-04-03 04:03:06.659,83783.75496624704,34509.65515267597
53,2025-04-03 05:04:32.946,83487.8420491959,34228.939039444835
54,2025-04-03 06:04:24.002,83564.27184811681,34301.41380302992
55,2025-04-03 07:04:54.873,83409.39729897068,34154.575453134195
56,2025-04-03 08:04:36.116,83003.67579388311,33770.31992149512
57,2025-04-03 09:03:27.563,83494.99176119595,34235.71788362653
58,2025-04-03 10:04:53.534,83710.89586871512,34440.50887914571
59,2025-04-03 11:02:13.103,83575.16343053042,34311.74348047264
60,2025-04-03 12:04:34.260,83230.13519692069,33984.72338279975
61,2025-04-03 13:04:25.956,83050.51017309572,33814.64545431825
62,2025-04-03 14:07:16.129,81957.14755593218,32782.02746248343
63,2025-04-03 15:09:22.246,81974.59932693769,32798.47313935473
64,2025-04-03 16:07:10.424,81476.42191638195,32329.497886016034
65,2025-04-03 17:09:41.555,82305.22481184445,33110.26558755514
66,2025-04-03 18:04:45.474,81831.40669422467,32663.571529160763
67,2025-04-03 19:04:56.196,81883.96787174862,32713.07981998784
68,2025-04-03 20:04:23.432,82023.69651873449,32844.74637916653
69,2025-04-03 21:04:39.573,82010.58295485632,32832.386138243426
70,2025-04-03 22:04:54.534,82337.19466168135,33140.43710033279
71,2025-04-03 23:04:26.624,82763.14038772575,33542.79865812269
72,2025-04-04 00:04:50.984,82654.29602655036,33439.914924346136
73,2025-04-04 01:05:40.782,83208.52796536,33964.258300172376
74,2025-04-04 02:04:43.728,83029.72559074209,33794.97326573213
75,2025-04-04 03:04:47.660,82676.67638736672,33461.066002027284
76,2025-04-04 04:04:33.317,82870.73001816859,33644.540356099016
77,2025-04-04 05:04:43.226,82793.26810143121,33571.28441417624
78,2025-04-04 06:04:52.661,82709.74394735025,33492.320746755526
79,2025-04-04 07:08:04.340,83155.70194321594,33914.231852195364
80,2025-04-04 08:04:33.552,83064.77766424145,33828.15027404541
81,2025-04-04 09:04:50.551,84003.03159736587,34717.87029512455
82,2025-04-04 10:04:49.047,84375.94429798229,35072.35379262776
83,2025-04-04 11:04:35.357,84613.64673947358,35298.55583951791
